محمد|Mohamed
رشيد|Rachid
صهيب|Souhayb
بهاء|Baha
غازي|Ghazi
يحيى|Yahya
خليل|Khalil
عمرو|Amrou
يزيد|Yazid
ضياء|Dhia
نديم|Nadim
سامح|Sameh
عارف|Aref
قاسم|Kacem
باسم|Bassem
مجدي|Majdi
نضال|Nidhal
ثامر|Thamer
زهير|Zouhair
بهجت|Bahjet
فيصل|Faycel
زكريا|Zakaria
طلال|Talel
أشرف|Achref
ساجد|Sajed
سند|Sanad
آدم|Adam
فراس|Firas
فضل|Fadel
منذر|Mondher
وائل|Wael
هادي|Hedi
سعيد|Said
نصر|Nasr
لؤى|Louay
عبده|Abdou
صابرين|Sabrine
نرمين|Narmine
نهى|Nouha
آية|Aya
ريان|Rayan
رواد|Raouaa
بثينة|Bothaina
نوال|Nawal
روعة|Rawaa
سلسبيل|Selsabill
روان|Rawane
ندين|Nadine
كوثر|Kaouther
حليمة|Halima
سعيدة|Saida
دلال|Dalel
نبيلة|Nabila
توحيدة|Tawhida
الزهرة|Zohra
عالية|Alia
ذكية|Dhekia
مروى|Marwa
أنيسة|Anissa
سكينة|Soukaina
عائدة|Aida
نرجس|Narges
آلاء|Alaa
سرين|Sirine
أريج|Arij
نادرة|Nadra
عصرية|Asria
نداء|Nidaa
راية|Raya
شذى|Chadha
خولة|Khaoula
وداد|Wided
راوية|Rawia
